specObjID,plateid,mjd,fiberid,ra,dec,primtarget,sectarget,targettype,spectrotype,subclass,z,z_err,z_warning,v_disp,v_disp_err,sn_median,e_bv_sfd,release,reliable,EW_Ha_6562,EW_Ha_6562_Err,sfr_fib_p50,bptclass,logMass,SFR,Metallicity
377313391544395776,335,52000,498,189.7742,-2.012315,64,0,GALAXY,GALAXY,STARFORMING,0.008737908,6.251283E-06,0,133.1885,48.07819,5.270304,0.02605997,dr123,1,45.23025,5.153381,-2.745411,1,7.62,0,0.004
377315315689744384,335,52000,505,189.9505,-1.77109,64,0,GALAXY,GALAXY,STARBURST,0.01419597,5.662882E-06,0,0,119.5896,8.581896,0.02454753,dr123,1,46.23221,4.069697,-2.379992,1,8.18,0,0.01
904255169124919296,803,52318,573,48.25662,0.1778369,64,0,GALAXY,GALAXY,STARBURST,0.007736175,5.595759E-06,0,0,27.9287,8.064113,0.07491642,special,1,48.47424,-9999,-9999,1,6.7,0,0.01
577756285248759808,513,51989,617,174.8618,3.47112,96,0,GALAXY,GALAXY,STARFORMING,0.01908033,1.300349E-05,0,69.57278,5.567702,29.35235,0.02301951,dr123,1,18.05039,0.4661005,-0.5808141,1,9.78,0.3,0.02
583345657524283392,518,52282,471,183.5089,2.99261,192,0,GALAXY,GALAXY,STARBURST,0.01953991,5.745677E-06,0,850,-3,3.850694,0.02153246,dr123,1,172.2593,-9999,-1.902505,1,8.27,0.1,0.01
584403937482795008,519,52283,225,185.4908,2.345078,64,0,GALAXY,GALAXY,STARBURST,0.006105036,5.473962E-06,0,34.67556,21.6508,27.90261,0.01969117,dr123,1,63.12005,1.094343,-1.170398,1,8.73,0,0.02
585511420653758464,520,52288,158,188.5212,2.146643,64,0,GALAXY,GALAXY,STARFORMING,0.0141347,1.549095E-05,0,102.1805,27.16257,7.032917,0.01752568,dr123,1,6.93372,0.7487895,-2.956146,2,7.94,0,0.01
799456865661511680,710,52203,247,46.71841,-0.7945045,96,0,GALAXY,GALAXY,AGN BROADLINE,0.01070627,6.164022E-06,0,126.3197,2.577091,49.44803,0.07100736,special,1,2.127093,0.1703788,-9999,4,10.86,0,0.02
813073492890118144,722,52224,632,340.8786,-8.645529,64,0,GALAXY,GALAXY,STARFORMING,0.01326079,7.303726E-06,0,15.63223,15.09568,19.82615,0.04378017,dr123,1,20.98238,0.7696001,-2.139821,1,9.2,0.3,0.004
1203641194815449088,1069,52590,197,41.58453,-0.234389,64,0,GALAXY,GALAXY,STARBURST,0.009187676,5.241453E-06,0,94.29186,40.03129,3.468966,0.03246091,special,1,13.52676,3.475539,-9999,1,7.12,0,0.01
1213760550970877952,1078,52643,147,23.93344,-0.388054,64,0,GALAXY,GALAXY,STARBURST,0.01690291,5.872092E-06,0,721.7222,150.8494,3.643182,0.03574614,special,1,102.9097,-9999,-9999,2,7.25,0,0.02
1216130822675916800,1080,52614,578,20.53734,0.94551,64,0,GALAXY,GALAXY,STARFORMING,0.007883392,1.383453E-05,0,0,26.75039,25.46472,0.03257206,special,1,14.2937,0.4718485,-2.305772,1,3.16,0,0.04
1340969373900236800,1191,52674,82,135.9465,5.806676,64,0,GALAXY,GALAXY,STARFORMING,0.01271945,6.689952E-06,0,32.92852,34.41457,13.74481,0.0493359,dr123,1,34.77286,2.292089,-2.08324,1,8.29,0,0.004
1231897817908275200,1094,52524,594,354.3593,0.387757,64,0,GALAXY,GALAXY,STARBURST,0.009132812,4.496167E-06,0,0,31.30043,3.436043,0.03855824,special,1,541.8608,-9999,-1.816502,1,5.92,0.1,0.01
519195195116382208,461,51910,565,53.71698,-5.788431,192,0,GALAXY,GALAXY,STARBURST,0.01825886,6.843369E-06,0,625.0656,115.9238,3.9923,0.03622717,dr123,1,40.58864,5.605783,-1.680497,1,8.37,0.1,0.004
